@relation 'cs415all-redo-complete-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-N-R32-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R35-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R37-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R39-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R44-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R56-weka.filters.unsupervised.attribute.Remove-R60-63,66-weka.filters.unsupervised.attribute.Remove-R60-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute 'Q Avg' numeric
@attribute 'Q Min' numeric
@attribute 'Q Max' numeric
@attribute 'Q \% Zeros' numeric
@attribute 'Q \% below 70\%' numeric
@attribute 'P Avg' numeric
@attribute 'P Min' numeric
@attribute 'P Max' numeric
@attribute 'P \% Zeros' numeric
@attribute 'P \% below 70\%' numeric
@attribute 'PRE Avg' numeric
@attribute 'PRE Min' numeric
@attribute 'PRE Max' numeric
@attribute 'PRE \% Zeros' numeric
@attribute 'PRE \% below 70\%' numeric
@attribute 'L Avg' numeric
@attribute 'L Min' numeric
@attribute 'L Max' numeric
@attribute 'L \% Zeros' numeric
@attribute 'L \% below 70\%' numeric
@attribute 'R Avg' numeric
@attribute 'R Min' numeric
@attribute 'R Max' numeric
@attribute 'R \% Zeros' numeric
@attribute 'R \% below 70\%' numeric
@attribute 'OLE Avg' numeric
@attribute 'OLE Min' numeric
@attribute 'OLE Max' numeric
@attribute 'Exam Avg' numeric
@attribute 'Exam Min' numeric
@attribute 'Exam Max' numeric
@attribute Gender=MALE {f,t}
@attribute Gender=FEMALE {f,t}
@attribute Gender=UNKNOWN {f,t}
@attribute 'CS Major=YES' {f,t}
@attribute 'CS Major=NO' {f,t}
@attribute 'ECE major=NO' {f,t}
@attribute 'ECE major=YES' {f,t}
@attribute Standing=FR {f,t}
@attribute Standing=SO {f,t}
@attribute Standing=GR {f,t}
@attribute Standing=SR {f,t}
@attribute Standing=JR {f,t}
@attribute 'Math Class=MATH 425' {f,t}
@attribute 'Math Class=UNKNOWN' {f,t}
@attribute 'Math Class=MATH 418' {f,t}
@attribute 'Math Class=MATH 531' {f,t}
@attribute 'Math Class=MATH 426' {f,t}
@attribute 'Math Class=NONE' {f,t}
@attribute 'Math Class=MATH 302' {f,t}
@attribute '415 Final Grade' numeric
@attribute 'Q Diff' numeric
@attribute 'P Diff' numeric
@attribute 'L Diff' numeric
@attribute 'R Diff' numeric
@attribute Semester=SEMESTER2007 {f,t}
@attribute Semester=SEMESTER2008 {f,t}
@attribute Semester=SEMESTER2009 {f,t}
@attribute Semester=2010.0 {f,t}
@attribute '520 Grade' numeric

@data
0.717809,0.744048,1,0,0,0.854531,0.707071,1,0,0,0.725521,0,1,0.25,0.2,0.87331,0.375,1,0,0.14245,0.769231,0,0,0.230769,0.229621,0.865922,0.75,1,0.712951,0.706897,0.744244,t,f,f,t,f,t,f,f,t,f,f,f,t,f,f,f,f,f,f,0.796675,0.604699,0.716004,0.388023,0.340278,f,f,t,f,0.5
0.860887,0.804924,1,0,0,0.837918,0.414141,1,0,0.166667,0.88443,0.8,0.875,0,0,0.979771,0.866667,1,0,0,0.961539,0.666667,0,0,0.11481,0.865922,0.738636,1,0.926705,0.955938,0.904091,t,f,f,f,t,t,f,f,t,f,f,f,f,f,t,f,f,f,f,0.871796,0.292576,0.674248,0.452198,0.542824,f,f,t,f,0.5
0.455909,0,0.717949,0.555555,0.25,0.932046,0.878788,1,0,0,0.868379,0.8,1,0,0,0.946539,0.625,1,0,0.071226,0.769231,0,0,0.230769,0.229621,0.877096,0.863636,0.954545,0.690353,0.764367,0.5844,t,f,f,t,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,0.793507,0.27209,0.77227,0.413818,0.340278,f,f,t,f,0.8325
0.505457,0.416667,0.517543,0,0.25,0.917281,0.868687,1,0,0,0.876404,0.7,1,0,0,0.761533,0,1,0.083613,0.213676,0.976923,0.8,0,0,0,0.106146,0.034091,0.409091,0.394525,0.496169,0.232735,t,f,f,t,f,t,f,f,f,t,f,f,f,t,f,f,f,f,f,0.634295,0.645506,0.774935,0.41921,0.604166,f,f,t,f,0.8325
0.648485,0.684524,0.717949,0,0.125,0.747483,0.636364,1,0,0.333333,0.52809,0,0.75,0.25,0.6,0.965537,0.916667,0,0,0,0.769231,0,0,0.230769,0.229621,0.648045,0.284091,1,0.844632,0.883059,0.803921,t,f,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.741901,0.622797,0.649668,0.503175,0.565972,f,f,t,f,0.75
0.457417,0.548246,0.633333,0,0.75,0.693958,0.353535,1,0,0.333333,0.662921,0,1,0.25,0.4,0.934431,0.625,1,0,0.071226,0.971154,0.75,0,0,0,0.212291,0.125,0.681818,0.346475,0.400383,0.264706,t,f,f,t,f,t,f,f,f,f,f,t,t,f,f,f,f,f,f,0.571573,0.309336,0.551055,0.432265,0.552951,f,f,t,f,0.75
0.780787,0.78125,0.916668,0,0,0.963422,0.808081,1,0,0,0.804173,0.4,1,0,0.2,0.931384,0.4,1,0,0.071226,1,1,0,0,0,0.98324,0.977273,1,0.715028,0.751874,0.673203,t,f,f,t,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,0.902236,0.639684,0.757463,0.565792,0.583333,f,f,t,f,1
0.340125,0.587607,0.523333,0,0.875,0.324831,0,1,0.2849,0.666667,0.627608,0.2,0.875,0,0.4,0.79319,0.4,1,0,0.2849,0.788461,0,0,0.115384,0.344431,0.011174,0.090909,0.318182,0.237389,0.113028,0.456521,t,f,f,f,t,t,f,f,f,f,f,t,f,t,f,f,f,f,f,0.272986,0.182863,0.475243,0.2285,0.360532,f,f,t,f,0.9175
0.821961,0.804924,0.903508,0,0,0.869294,0.606061,1,0,0.166667,0.556982,0,0.821428,0.25,0.4,0.948018,0.6,1,0,0.071226,0.961539,0.666667,0,0,0.11481,0.977654,0.954545,1,0.820996,0.864317,0.771241,t,f,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.858407,0.392647,0.728738,0.492643,0.542824,f,f,t,f,1
0.563034,0,0.811966,0.555555,0.25,0.703188,0,1,0.2849,0.166667,0.927769,0.9,1,0,0,0.64069,0,0,0.334448,0.2849,0.538462,0,0,0.461538,0.459242,0.854748,0.761364,0.954545,0.879695,0.936781,0.808185,t,f,f,t,f,t,f,f,f,t,f,f,f,t,f,f,f,f,f,0.739116,1,0.603767,0.715242,1,f,f,t,f,0.9175
