@relation cs415all-redo-complete-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-N-R32-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R35-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R37-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R39-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R44-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R56-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R60-65-weka.filters.unsupervised.attribute.Remove-R35-38

@attribute 'Q Avg' numeric
@attribute 'Q Min' numeric
@attribute 'Q Max' numeric
@attribute 'Q \% Zeros' numeric
@attribute 'Q \% below 70\%' numeric
@attribute 'P Avg' numeric
@attribute 'P Min' numeric
@attribute 'P Max' numeric
@attribute 'P \% Zeros' numeric
@attribute 'P \% below 70\%' numeric
@attribute 'PRE Avg' numeric
@attribute 'PRE Min' numeric
@attribute 'PRE Max' numeric
@attribute 'PRE \% Zeros' numeric
@attribute 'PRE \% below 70\%' numeric
@attribute 'L Avg' numeric
@attribute 'L Min' numeric
@attribute 'L Max' numeric
@attribute 'L \% Zeros' numeric
@attribute 'L \% below 70\%' numeric
@attribute 'R Avg' numeric
@attribute 'R Min' numeric
@attribute 'R Max' numeric
@attribute 'R \% Zeros' numeric
@attribute 'R \% below 70\%' numeric
@attribute 'OLE Avg' numeric
@attribute 'OLE Min' numeric
@attribute 'OLE Max' numeric
@attribute 'Exam Avg' numeric
@attribute 'Exam Min' numeric
@attribute 'Exam Max' numeric
@attribute Gender=MALE {f,t}
@attribute Gender=FEMALE {f,t}
@attribute Gender=UNKNOWN {f,t}
@attribute Standing=FR {f,t}
@attribute Standing=SO {f,t}
@attribute Standing=GR {f,t}
@attribute Standing=SR {f,t}
@attribute Standing=JR {f,t}
@attribute 'Math Class=MATH 425' {f,t}
@attribute 'Math Class=UNKNOWN' {f,t}
@attribute 'Math Class=MATH 418' {f,t}
@attribute 'Math Class=MATH 531' {f,t}
@attribute 'Math Class=MATH 426' {f,t}
@attribute 'Math Class=NONE' {f,t}
@attribute 'Math Class=MATH 302' {f,t}
@attribute '415 Final Grade' numeric
@attribute 'Q Diff' numeric
@attribute 'P Diff' numeric
@attribute 'L Diff' numeric
@attribute 'R Diff' numeric
@attribute Semester=SEMESTER2007 {f,t}
@attribute Semester=SEMESTER2008 {f,t}
@attribute Semester=SEMESTER2009 {f,t}
@attribute Semester=2010.0 {f,t}
@attribute 'Graduated with CS Degree' {YES,NO,NA}

@data
0.790606,0,0.942761,0.1,0.1,0.737944,0,1,0.090909,0.272727,0.066667,0,0.060811,0.25,0.75,0.85947,0,0.857143,0.090909,0.090909,0.777778,0,1,0.222222,0.222222,0.96,0.92,1,0.590909,0.484536,0.7,t,f,f,t,f,f,f,f,t,f,f,f,f,f,f,0.784325,0.876879,0.403439,0.580768,0.604545,f,t,f,f,NO
0.255329,0,0.869384,0.6,0.9,0.532302,0,1,0.363636,0.454545,0,0,0,1,1,0.822348,0,0.857143,0.136364,0.181818,0.666667,0,1,0.333333,0.333333,0.475,0,0.95,0.207071,0,0.41,t,f,f,t,f,f,f,f,f,f,t,f,f,f,f,0.504752,0.494812,0.129101,0.623666,0.445454,f,t,f,f,NO
0.308088,0,0.848485,0.6,0.6,0.344858,0,1,0.545455,0.636364,0.01,0,0.02027,0.75,1,0.474242,0,0.857143,0.454545,0.545455,0.222222,0,1,0.777778,0.777778,0.365,0,0.73,0.19697,0,0.39,t,f,f,f,t,f,f,f,f,f,f,f,t,f,f,0.346852,0.243058,0.276455,0.223934,0.381818,f,t,f,f,YES
0.853773,0.752315,0.969697,0,0,0.932666,0.727273,1,0,0,0.115,0.75,0.067568,0,0,0.989015,0.85,0.857143,0,0,1,1,1,0,0,0.85,0.81,0.89,0.631313,0.597938,0.67,t,f,f,t,f,f,f,f,f,f,f,f,t,f,f,0.924481,0.729009,0.722752,0.714662,0.636363,f,t,f,f,NO
0.61636,0.462963,0.969697,0,0.8,0.431301,0,0.98,0.363636,0.636364,0.038333,0,0.050676,0.5,0.75,0.745076,0,0.857143,0.045455,0.363636,1,1,1,0,0,0.435,0.26,0.61,0.388889,0.360825,0.42,t,f,f,t,f,f,f,f,f,f,t,f,f,f,f,0.543944,0.628947,0.194444,0.358478,0.636363,f,t,f,f,NO
0.772593,0.488281,0.941176,0,0.2,0.809827,0.212121,1,0,0.181818,0.126667,0.9,0.067568,0,0,0.916439,0.333333,0.857143,0,0.090909,1,1,1,0,0,0.45,0.42,0.48,0.565657,0.546392,0.59,t,f,f,t,f,f,f,f,f,f,f,t,f,f,f,0.810891,0.597219,0.511375,0.745601,0.636363,f,t,f,f,NO
0.490267,0.231481,0.655972,0,1,0.787989,0.393939,1,0,0.363636,0.073333,0,0.067568,0.25,0.75,0.912879,0.5,0.857143,0,0.090909,1,1,1,0,0,0.45,0.44,0.46,0.434343,0.298969,0.57,t,f,f,t,f,f,f,f,f,f,t,f,f,f,f,0.7256,0.599568,0.703175,0.771209,0.636363,f,t,f,f,NO
0.669524,0.549769,0.798574,0,0.6,0.688808,0,1,0.090909,0.363636,0.073333,0,0.060811,0.25,0.5,0.853788,0,0.857143,0.045455,0.136364,0.888889,0,1,0.111111,0.111111,0.45,0.05,0.85,0.429293,0.371134,0.49,t,f,f,t,f,f,f,f,f,f,t,f,f,f,f,0.699271,0.630987,0.390476,0.615216,0.477273,f,t,f,f,NO
0.932189,0.827206,0.969697,0,0,0.959054,0.858586,1,0,0,0.12,0.6,0.067568,0,0.25,0.957197,0.775,0.857143,0,0,1,1,1,0,0,0.99,0.98,1,0.69697,0.587629,0.81,t,f,f,t,f,f,f,f,t,f,f,f,f,f,f,0.961456,0.802506,0.783333,0.701663,0.636363,f,t,f,f,NO
0.906263,0.798611,0.969697,0,0,0.942675,0.848485,1,0,0,0.063333,0,0.067568,0.5,0.5,0.950758,0.6,0.857143,0,0.045455,0.666667,0,1,0.333333,0.333333,1,1,1,0.681818,0.597938,0.77,t,f,f,t,f,f,f,f,t,f,f,f,f,f,f,0.922284,0.7684,0.714021,0.672414,0.445454,f,t,f,f,NO
