@relation 'cs415all-weka.filters.unsupervised.attribute.Discretize-D-B2-M-1.0-R33,34,35,36,44,46,48,50-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R37-weka.filters.unsupervised.attribute.Discretize-B7-M-1.0-R38-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R51-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R51-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51,50-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R50-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R47-48,50-weka.filters.unsupervised.attribute.Remove-R43-44-weka.filters.unsupervised.attribute.Remove-R44-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,44,43-weka.filters.unsupervised.attribute.Remove-R2-9,11-12,15-19,21-25,27-31,33-36,39-43'

@attribute 'Q Avg' numeric
@attribute 'P \% below 70\%' numeric
@attribute 'PRE Max' numeric
@attribute 'PRE \% Zeros' numeric
@attribute 'L \% below 70\%' numeric
@attribute 'OLE Avg' numeric
@attribute Male_1 {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute 'Math Class' {'\'(-inf-0.857143]\'','\'(0.857143-1.714286]\'','\'(1.714286-2.571429]\'','\'(2.571429-3.428571]\'','\'(3.428571-4.285714]\'','\'(4.285714-5.142857]\'','\'(5.142857-inf)\''}
@attribute '415 Final Grade' numeric
@attribute 'Took 515_1' {'\'(-inf-0.5]\'','\'(0.5-inf)\''}

@data
0.917143,0,1,0,0.090909,0.94,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.94184,'\'(0.5-inf)\''
0.779283,0.272727,0.8,0.25,0.136364,0.895,'\'(0.5-inf)\'','\'(2.571429-3.428571]\'',0.785436,'\'(0.5-inf)\''
0.782616,0,1,0.25,0,0.935,'\'(0.5-inf)\'','\'(2.571429-3.428571]\'',0.885915,'\'(0.5-inf)\''
0.81255,0,1,0,0.136364,0.975,'\'(0.5-inf)\'','\'(3.428571-4.285714]\'',0.921458,'\'(0.5-inf)\''
0.748268,0.090909,1,0,0.045455,0.92,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.841021,'\'(0.5-inf)\''
0.889108,0.272727,1,0,0.318182,0.86,'\'(0.5-inf)\'','\'(1.714286-2.571429]\'',0.748675,'\'(0.5-inf)\''
0.619906,0.090909,0.8,0.25,0.090909,0.535,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.802244,'\'(-inf-0.5]\''
0.772393,0.363636,1,0.25,0.136364,0.9,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.803812,'\'(0.5-inf)\''
0.774248,0.076923,0.857143,0.8,0.115385,0.87,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.851958,'\'(0.5-inf)\''
0.568023,0.153846,0.857143,0.2,0,0.516667,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.736434,'\'(0.5-inf)\''
0.960548,0,1,0,0.038462,0.983333,'\'(0.5-inf)\'','\'(1.714286-2.571429]\'',0.973331,'\'(0.5-inf)\''
0.922624,0.153846,1,0,0,0.993333,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.919713,'\'(-inf-0.5]\''
0.90889,0.307692,0.95,0,0.038462,0.876667,'\'(0.5-inf)\'','\'(1.714286-2.571429]\'',0.845796,'\'(0.5-inf)\''
0.681543,0.076923,1,0,0,0.503333,'\'(0.5-inf)\'','\'(2.571429-3.428571]\'',0.824242,'\'(0.5-inf)\''
0.854082,0,1,0.2,0.076923,0.92,'\'(0.5-inf)\'','\'(2.571429-3.428571]\'',0.911988,'\'(0.5-inf)\''
0.718656,0,1,0,0.038462,0.926667,'\'(0.5-inf)\'','\'(1.714286-2.571429]\'',0.910696,'\'(0.5-inf)\''
